2026-04-21 17:31:31,753 - ERROR - Error in row {'item_id': '6', 'name': 'Hand Sanitizer', 'quantity': '50', 'threshold': '20', 'price': '2.0', 'category': 'hygiene', 'supplier': 'CleanCo', 'expiry_date': '2027-01-35'}: unconverted data remains: 5
2026-04-21 17:43:44,418 - ERROR - Error in row {'item_id': '6', 'name': 'Hand Sanitizer', 'quantity': '50', 'threshold': '20', 'price': '2.0', 'category': 'hygiene', 'supplier': 'CleanCo', 'expiry_date': '2027-01-35'}: unconverted data remains: 5
2026-04-21 17:45:54,639 - ERROR - Error in row {'item_id': '6', 'name': 'Hand Sanitizer', 'quantity': '50', 'threshold': '20', 'price': '2.0', 'category': 'hygiene', 'supplier': 'CleanCo', 'expiry_date': '2027-01-35'}: unconverted data remains: 5
2026-04-21 17:46:30,951 - ERROR - Error in row {'item_id': '6', 'name': 'Hand Sanitizer', 'quantity': '50', 'threshold': '20', 'price': '2.0', 'category': 'hygiene', 'supplier': 'CleanCo', 'expiry_date': '2027-01-35'}: unconverted data remains: 5
2026-04-21 17:51:03,077 - ERROR - Error in row {'item_id': '6', 'name': 'Hand Sanitizer', 'quantity': '50', 'threshold': '20', 'price': '2.0', 'category': 'hygiene', 'supplier': 'CleanCo', 'expiry_date': '2027-01-35'}: unconverted data remains: 5
2026-04-21 17:53:20,792 - ERROR - Error in row {'item_id': 'lk', 'name': 'Insulin', 'quantity': '8', 'threshold': '10', 'price': '10.0', 'category': 'medicine', 'supplier': 'BioPharm', 'expiry_date': '2026-06-01'}: invalid literal for int() with base 10: 'lk'
2026-04-21 17:53:20,792 - ERROR - Error in row {'item_id': '6', 'name': 'Hand Sanitizer', 'quantity': '50', 'threshold': '20', 'price': '2.0', 'category': 'hygiene', 'supplier': 'CleanCo', 'expiry_date': '2027-01-35'}: unconverted data remains: 5
2026-04-21 17:53:39,078 - ERROR - Error in row {'item_id': 'lk', 'name': 'Insulin', 'quantity': '8', 'threshold': '10', 'price': '10.0', 'category': 'medicine', 'supplier': 'BioPharm', 'expiry_date': '2026-06-01'}: invalid literal for int() with base 10: 'lk'
2026-04-21 17:53:39,078 - ERROR - Error in row {'item_id': '6', 'name': 'Hand Sanitizer', 'quantity': '50', 'threshold': '20', 'price': '2.0', 'category': 'hygiene', 'supplier': 'CleanCo', 'expiry_date': '2027-01-35'}: unconverted data remains: 5
2026-04-21 17:53:45,945 - ERROR - Error in row {'item_id': 'lk', 'name': 'Insulin', 'quantity': '8', 'threshold': '10', 'price': '10.0', 'category': 'medicine', 'supplier': 'BioPharm', 'expiry_date': '2026-06-01'}: invalid literal for int() with base 10: 'lk'
2026-04-21 17:53:45,946 - ERROR - Error in row {'item_id': '6', 'name': 'Hand Sanitizer', 'quantity': '50', 'threshold': '20', 'price': '2.0', 'category': 'hygiene', 'supplier': 'CleanCo', 'expiry_date': '2027-01-35'}: unconverted data remains: 5
2026-04-21 17:54:12,871 - ERROR - Error in row {'item_id': 'l', 'name': 'Vitamin C', 'quantity': '300', 'threshold': '100', 'price': '1.5', 'category': 'medicine', 'supplier': 'NutraLife', 'expiry_date': '2026-08-20'}: invalid literal for int() with base 10: 'l'
2026-04-21 17:54:12,871 - ERROR - Error in row {'item_id': '6', 'name': 'Hand Sanitizer', 'quantity': '50', 'threshold': '20', 'price': '2.0', 'category': 'hygiene', 'supplier': 'CleanCo', 'expiry_date': '2027-01-35'}: unconverted data remains: 5
2026-04-21 18:05:31,626 - ERROR - Error in row {'item_id': 'l', 'name': 'Vitamin C', 'quantity': '300', 'threshold': '100', 'price': '1.5', 'category': 'medicine', 'supplier': 'NutraLife', 'expiry_date': '2026-08-20'}: invalid literal for int() with base 10: 'l'
2026-04-21 18:05:31,626 - ERROR - Error in row {'item_id': '6', 'name': 'Hand Sanitizer', 'quantity': '50', 'threshold': '20', 'price': '2.0', 'category': 'hygiene', 'supplier': 'CleanCo', 'expiry_date': '2027-01-35'}: unconverted data remains: 5
2026-04-21 18:43:47,359 - ERROR - Error in row {'item_id': 'l', 'name': 'Vitamin C', 'quantity': '300', 'threshold': '100', 'price': '1.5', 'category': 'medicine', 'supplier': 'NutraLife', 'expiry_date': '2026-08-20'}: invalid literal for int() with base 10: 'l'
2026-04-21 18:43:47,359 - ERROR - Error in row {'item_id': 'l', 'name': '2.5', 'quantity': 'llk', 'threshold': 'abd', 'price': 'ad', 'category': 'kjk', 'supplier': '23', 'expiry_date': '2.3'}: invalid literal for int() with base 10: 'l'
